City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
hasaki,20,JP,1584498186,41,64.0,35.73,140.83,8.05
kodiak,90,US,1584498037,75,42.8,57.79,-152.41,6.93
rio grande,100,BR,1584498113,79,73.0,-32.03,-52.1,5.01
dunedin,58,NZ,1584498187,50,62.01,-45.87,170.5,8.01
butaritari,1,KI,1584498187,73,83.79,3.07,172.79,12.95
katsuura,20,JP,1584498187,54,60.01,35.13,140.3,5.82
tilichiki,100,RU,1584498188,88,18.75,60.47,166.1,9.64
weymouth,1,US,1584498188,86,44.6,42.22,-70.94,5.82
mar del plata,100,AR,1584498077,93,68.0,-38.0,-57.56,4.7
granada,100,ES,1584498188,81,53.01,37.25,-3.25,2.24
cooma,0,AU,1584498017,35,69.8,-36.23,149.13,3.36
vila velha,40,BR,1584498052,88,78.8,-20.33,-40.29,3.36
nsoko,99,SZ,1584498189,93,60.8,-27.03,31.95,4.97
tianpeng,0,CN,1584498189,51,66.99,30.99,103.94,2.24
tuktoyaktuk,75,CA,1584498190,84,-2.2,69.45,-133.04,5.82
zhangye,15,CN,1584498190,15,50.14,38.93,100.45,2.75
nelson bay,20,AU,1584498190,56,79.0,-32.72,152.15,11.41
longyearbyen,20,SJ,1584498056,68,-16.6,78.22,15.64,9.17
rorvik,100,NO,1584498191,67,40.87,64.86,11.24,27.4
avarua,100,CK,1584498191,88,80.6,-21.21,-159.78,12.75
khani,90,GE,1584498191,93,35.6,41.96,42.96,2.24
port elizabeth,0,ZA,1584498191,68,66.2,-33.92,25.57,14.99
hervey bay,75,AU,1584498191,51,82.99,-25.3,152.85,14.99
acapulco,20,MX,1584498192,78,82.4,16.86,-99.89,9.17
narsaq,69,GL,1584498192,39,10.4,60.92,-46.05,9.17
sitka,20,US,1584498012,79,42.8,57.05,-135.33,18.34
isangel,90,VU,1584498012,70,84.2,-19.55,169.27,9.17
bujak,0,HU,1584498192,86,42.01,47.88,19.54,2.24
nicoya,0,CR,1584498193,54,82.4,10.15,-85.45,19.46
kabanjahe,40,ID,1584498193,83,84.2,3.1,98.49,9.17
rawson,0,AR,1584498193,66,60.49,-43.3,-65.1,9.01
sorland,67,NO,1584498193,68,40.73,67.67,12.69,24.25
havelock,90,US,1584498194,93,59.0,34.88,-76.9,3.36
nome,90,US,1584498194,92,32.0,64.5,-165.41,6.93
santa helena de goias,3,BR,1584498024,84,71.15,-17.81,-50.6,2.39
emerald,0,AU,1584498194,37,82.4,-23.53,148.17,12.75
mahebourg,20,MU,1584498002,100,73.4,-20.41,57.7,5.82
dikson,100,RU,1584498195,100,-8.81,73.51,80.55,5.32
camalu,0,MX,1584498216,72,52.83,30.85,-116.07,4.68
tanhacu,22,BR,1584498216,87,72.77,-14.02,-41.25,3.33
vardo,100,NO,1584498216,92,29.21,70.37,31.11,6.51
krasnyye barrikady,100,RU,1584498217,48,39.2,46.2,47.85,8.95
dodge city,90,US,1584498217,93,45.0,37.75,-100.02,12.75
saldanha,21,ZA,1584498217,87,59.0,-33.01,17.94,5.82
port moresby,40,PG,1584498217,62,87.8,-9.44,147.18,11.41
suntar,100,RU,1584498217,90,1.72,62.14,117.63,4.99
lekoni,94,GA,1584498218,87,73.9,-1.58,14.26,5.01
khatanga,100,RU,1584498218,85,-12.17,71.97,102.5,7.96
avera,1,US,1584498218,100,64.4,33.19,-82.53,1.77
matay,47,EG,1584498218,61,51.84,28.42,30.78,7.63
karoi,100,ZW,1584498218,94,62.19,-16.81,29.69,5.84
general pico,96,AR,1584498219,88,62.22,-35.66,-63.76,4.61
norman wells,75,CA,1584498219,79,24.8,65.28,-126.83,2.24
gat,75,IL,1584498219,87,53.6,31.61,34.76,5.82
atuona,99,PF,1584498003,75,82.47,-9.8,-139.03,11.1
hobyo,95,SO,1584498220,79,76.89,5.35,48.53,10.85
muravlenko,85,RU,1584498220,86,14.36,63.79,74.52,22.06
luderitz,0,NA,1584498220,93,59.0,-26.65,15.16,4.7
beauceville,91,CA,1584498220,84,34.0,46.22,-70.78,5.01
piopio,0,NZ,1584498221,38,67.1,-38.47,175.02,5.86
pokhara,0,NP,1584498221,41,71.47,28.23,83.98,0.83
birjand,5,IR,1584498221,54,53.6,32.87,59.22,13.87
cabo san lucas,75,MX,1584498222,56,73.99,22.89,-109.91,4.7
payson,75,US,1584498222,50,55.0,40.04,-111.73,12.75
aksarka,50,RU,1584498016,85,15.58,66.56,67.8,15.61
bulungu,100,CD,1584498222,87,70.23,-4.55,18.6,1.12
rafai,100,CF,1584498222,91,69.67,4.95,23.92,1.48
adre,100,TD,1584498223,14,69.96,13.47,22.2,16.75
binzhou,0,CN,1584498223,29,71.01,37.37,118.02,5.01
los llanos de aridane,40,ES,1584498223,87,59.0,28.66,-17.92,17.22
saint-pierre,90,RE,1584498022,88,75.2,-21.34,55.48,5.82
dingle,8,PH,1584498223,62,85.37,11.0,122.67,13.33
biltine,100,TD,1584498224,14,72.36,14.53,20.92,15.59
tikhvin,99,RU,1584498224,88,35.15,59.65,33.53,11.03
namatanai,82,PG,1584498224,68,85.08,-3.67,152.43,2.04
port lincoln,91,AU,1584498225,24,86.56,-34.73,135.87,7.31
cockburn town,19,TC,1584498000,75,75.29,21.46,-71.14,18.05
kaitangata,28,NZ,1584498014,72,51.73,-46.28,169.85,8.34
ostrovnoy,94,RU,1584498225,93,20.59,68.05,39.51,12.8
victoria,40,HK,1584498226,68,72.0,22.29,114.16,11.41
airai,0,TL,1584498001,50,80.08,-8.93,125.41,5.86
yaan,71,NG,1584498247,70,81.84,7.38,8.57,7.29
zhigansk,0,RU,1584498248,91,-21.82,66.77,123.37,9.51
evanston,1,US,1584498248,51,39.0,42.04,-87.69,4.7
iqaluit,90,CA,1584498248,85,15.8,63.75,-68.51,10.29
poum,1,NC,1584498248,77,79.81,-20.23,164.02,17.07
conceicao da barra,0,BR,1584498249,77,80.94,-18.59,-39.73,11.21
bay roberts,90,CA,1584498042,79,30.0,47.6,-53.26,24.16
markala,22,ML,1584498249,30,82.2,13.7,-6.07,6.51
chumikan,18,RU,1584498249,74,32.29,54.72,135.31,8.08
kloulklubed,75,PW,1584498249,66,86.0,7.04,134.26,8.05
talnakh,75,RU,1584498250,85,12.2,69.49,88.4,29.08
alofi,40,NU,1584498250,74,86.0,-19.06,-169.92,12.75
kon tum,57,VN,1584497952,25,87.21,14.35,108.0,3.78
grand forks,1,US,1584498018,79,23.0,47.93,-97.03,6.93
borgo san dalmazzo,5,IT,1584498251,53,52.0,44.33,7.49,1.12
san carlos del zulia,33,VE,1584498251,79,76.1,9.0,-71.91,6.13
vaitape,100,PF,1584498251,70,83.77,-16.52,-151.75,7.87
carbonia,40,IT,1584498251,93,59.0,39.17,8.52,3.36
whitianga,0,NZ,1584498252,46,75.0,-36.83,175.7,4.0
telhara,96,IN,1584498252,28,79.65,21.03,76.84,12.82
itoman,75,JP,1584498252,60,71.6,26.12,127.67,13.87
cururupu,99,BR,1584498252,99,74.08,-1.83,-44.87,1.57
tautira,75,PF,1584498028,66,87.8,-17.73,-149.15,5.82
lagoa,19,PT,1584498253,82,62.22,39.05,-27.98,13.76
kahului,75,US,1584498253,94,71.6,20.89,-156.47,9.17
saint george,90,US,1584498253,47,55.99,37.1,-113.58,8.05
ilulissat,97,GL,1584498254,46,6.8,69.22,-51.1,21.92
burnie,100,AU,1584498254,74,66.99,-41.07,145.92,5.01
mananara,2,MG,1584498254,85,78.87,-16.17,49.77,5.77
esperance,40,AU,1584498254,40,69.8,-33.87,121.9,26.4
eureka,90,US,1584498254,81,46.99,40.8,-124.16,6.93
tuatapere,99,NZ,1584498004,64,60.01,-46.13,167.68,5.01
clyde river,90,CA,1584498255,75,-18.4,70.47,-68.59,14.99
vila franca do campo,20,PT,1584498255,81,53.6,37.72,-25.43,2.24
uvat,54,RU,1584498255,86,22.01,59.14,68.9,10.76
villa maria,13,AR,1584498256,98,60.01,-32.41,-63.24,1.99
crystal beach,75,CA,1584498256,69,39.2,42.87,-79.06,11.41
magadan,0,RU,1584498049,74,12.51,59.57,150.8,1.74
codrington,100,AU,1584498256,66,65.68,-38.27,141.97,14.25
pevek,100,RU,1584498028,94,20.12,69.7,170.31,18.34
kaeo,0,NZ,1584498257,61,71.01,-35.1,173.78,5.99
ponta delgada,20,PT,1584498023,81,53.6,37.73,-25.67,2.24
popondetta,4,PG,1584498257,59,85.8,-8.75,148.25,5.53
ornskoldsvik,6,SE,1584498257,83,32.0,63.29,18.72,10.29
quatre cocos,20,MU,1584498258,100,73.4,-20.21,57.76,5.82
pierre,90,US,1584498003,80,42.01,44.37,-100.35,18.34
marrakesh,75,MA,1584498052,76,51.8,31.63,-8.01,5.82
erenhot,100,CN,1584498259,54,34.2,43.65,111.98,19.22
safaga,0,EG,1584498259,33,62.6,26.73,33.94,11.41
ballina,40,AU,1584498259,57,77.0,-28.87,153.57,17.22
lagos,40,NG,1584498118,94,82.4,6.58,3.75,2.24
sept-iles,90,CA,1584498259,100,28.99,50.2,-66.38,8.05
kankon,20,IN,1584498260,94,78.8,15.02,74.02,4.7
panama city,20,PA,1584498030,65,80.6,8.99,-79.52,4.7
boat of garten,100,GB,1584498260,95,37.99,57.25,-3.76,9.17
basco,73,PH,1584498260,72,74.84,20.45,121.97,17.02
timmins,75,CA,1584498193,61,15.8,48.47,-81.33,3.36
naze,75,JP,1584498261,63,66.2,28.37,129.48,6.93
jining,0,CN,1584498261,27,70.57,35.41,116.58,11.34
saint-francois,0,FR,1584498261,93,51.01,46.42,3.91,0.89
provideniya,75,RU,1584498020,86,30.2,64.38,-173.3,24.61
bethel,20,US,1584498014,86,50.0,41.37,-73.41,5.91
broome,75,US,1584498262,59,39.2,42.25,-75.83,11.41
craig,1,US,1584498262,48,48.2,40.52,-107.55,6.93
alyangula,40,AU,1584498262,52,91.4,-13.85,136.42,11.41
kieta,1,PG,1584498263,68,84.69,-6.22,155.63,4.72
mount isa,0,AU,1584498263,27,89.6,-20.73,139.5,13.87
bualan,57,PH,1584498263,52,83.62,7.75,124.27,8.7
casma,3,CL,1584498263,87,51.8,-41.01,-73.12,4.7
adrar,39,MR,1584498264,29,63.63,20.5,-10.07,10.38
pionerskiy,75,RU,1584498264,75,44.6,54.95,20.23,8.95
rio gallegos,0,AR,1584498264,57,51.8,-51.62,-69.22,9.17
chute-aux-outardes,75,CA,1584498264,92,35.6,49.12,-68.4,12.75
moron,100,AR,1584498264,88,69.01,-34.65,-58.62,13.87
olafsvik,100,IS,1584498265,81,26.4,64.89,-23.71,34.16
matamoros,75,MX,1584498286,26,82.4,25.53,-103.25,10.29
lavrentiya,50,RU,1584498286,82,28.9,65.58,-171.0,12.57
tiksi,0,RU,1584498286,88,-28.55,71.69,128.87,7.11
xai-xai,55,MZ,1584498287,82,64.35,-25.05,33.64,4.38
drayton valley,2,CA,1584498287,92,13.75,53.22,-114.99,4.45
pacific grove,20,US,1584498012,62,52.0,36.62,-121.92,5.82
toguchin,100,RU,1584498287,86,23.65,55.24,84.39,20.56
staunton,40,US,1584498030,71,55.0,38.15,-79.07,5.82
grindavik,75,IS,1584498288,86,32.0,63.84,-22.43,21.92
antofagasta,36,CL,1584497996,77,64.4,-23.65,-70.4,4.7
hit,98,IQ,1584498288,67,65.14,33.64,42.83,20.36
portadown,75,GB,1584498288,93,42.8,54.42,-6.44,11.41
khalkhal,86,IR,1584498289,93,32.34,37.62,48.53,8.66
saint-georges,20,GD,1584498289,83,77.0,12.06,-61.75,14.09
haines junction,94,CA,1584498289,80,16.41,60.75,-137.51,4.65
ambanja,20,MG,1584498289,88,75.22,-13.68,48.45,3.71
bang saphan,20,TH,1584498290,94,78.8,11.21,99.51,1.12
beisfjord,83,NO,1584498290,98,35.6,68.38,17.6,18.34
dunmore,90,US,1584498291,75,42.8,41.42,-75.63,5.82
chernyshevskiy,70,RU,1584498291,90,-0.53,63.01,112.47,1.54
fort nelson,75,CA,1584498291,42,30.2,58.81,-122.7,6.93
katherine,40,AU,1584498012,46,91.4,-14.47,132.27,9.17
sinnamary,20,GF,1584498292,79,80.91,5.38,-52.95,14.41
lorengau,100,PG,1584498292,75,82.38,-2.02,147.27,5.66
wasilla,90,US,1584498292,86,32.0,61.58,-149.44,3.36
ferme-neuve,93,CA,1584498292,70,26.15,46.7,-75.45,11.56
makakilo city,40,US,1584498061,100,73.4,21.35,-158.09,5.82
necochea,99,AR,1584498039,93,63.0,-38.55,-58.74,1.01
calvinia,0,ZA,1584498293,43,52.0,-31.47,19.78,2.33
swift current,90,CA,1584498008,79,24.8,50.28,-107.8,19.46
shimoda,20,JP,1584498294,34,64.4,34.67,138.95,12.75
anahuac,5,MX,1584498294,54,82.4,27.23,-100.15,18.34
sungaipenuh,42,ID,1584498294,68,76.86,-2.08,101.38,2.21
farafangana,3,MG,1584498013,80,78.06,-22.82,47.83,17.56
carnarvon,100,AU,1584498294,51,80.6,-24.87,113.63,23.04
ukiah,90,US,1584498295,81,48.99,39.15,-123.21,3.36
nuevo laredo,1,MX,1584498153,54,84.2,27.48,-99.52,17.22
vari,0,GR,1584498295,74,48.0,37.83,23.81,5.82
biak,52,ID,1584498295,73,82.27,-0.91,122.88,4.43
zlotow,70,PL,1584498296,81,46.4,53.36,17.04,8.05
winnemucca,1,US,1584498305,69,33.8,40.97,-117.74,11.41
marica,20,BR,1584498305,83,75.2,-22.92,-42.82,6.93
pueblo nuevo,0,MX,1584498305,83,52.93,23.38,-105.38,1.74
sal rei,40,CV,1584498305,68,68.0,16.18,-22.92,10.29
arlit,0,NE,1584498306,9,74.98,18.74,7.39,7.23
bafq,46,IR,1584498306,37,61.16,31.61,55.41,8.14
greenville,90,US,1584498069,82,59.0,35.61,-77.37,3.36
constitucion,0,CL,1584498307,89,53.94,-35.33,-72.42,5.7
kirakira,13,SB,1584498307,80,82.53,-10.45,161.92,2.08
ust-tsilma,100,RU,1584498307,86,25.52,65.44,52.15,7.94
majene,38,ID,1584498307,67,85.24,-3.54,118.97,4.7
omsukchan,100,RU,1584498308,88,8.4,62.53,155.8,3.44
upernavik,90,GL,1584498308,54,-7.51,72.79,-56.15,7.43
sola,91,VU,1584498308,69,84.43,-13.88,167.55,7.25
usinsk,100,RU,1584498309,93,24.17,65.99,57.53,19.22
samana,36,DO,1584498072,98,67.82,19.21,-69.34,3.58
port blair,100,IN,1584498309,68,82.4,11.67,92.75,8.34
senneterre,5,CA,1584498309,67,21.2,48.38,-77.23,10.29
tyup,14,KG,1584498309,41,37.72,42.73,78.36,1.66
calatayud,53,ES,1584498310,81,51.8,41.35,-1.64,6.93
tiarei,75,PF,1584498310,66,87.8,-17.53,-149.33,5.82
anadyr,31,RU,1584498310,73,26.6,64.75,177.48,6.71
ripanj,0,RS,1584498310,65,41.0,44.64,20.52,2.24
shelbyville,90,US,1584498311,100,57.2,35.48,-86.46,5.82
srednekolymsk,66,RU,1584498311,84,-1.79,67.45,153.68,8.41
itaporanga,100,BR,1584498086,91,71.42,-7.3,-38.15,4.94
cimarron hills,75,US,1584498312,80,44.01,38.86,-104.7,4.38
viedma,0,AR,1584498234,84,60.75,-40.81,-63.0,10.18
deloraine,90,AU,1584498312,82,66.99,-41.53,146.67,10.29
micheweni,100,TZ,1584498312,71,84.45,-4.97,39.83,4.34
port hedland,0,AU,1584498312,25,100.4,-20.32,118.57,6.93
dingli,97,MT,1584498313,71,52.0,35.86,14.38,6.93
bonthe,53,SL,1584498313,84,80.33,7.53,-12.51,6.17
genhe,99,CN,1584498313,76,27.82,50.78,121.52,8.16
kruisfontein,0,ZA,1584498038,86,61.27,-34.0,24.73,10.38
camabatela,100,AO,1584498314,97,63.63,-8.19,15.38,2.91
jalu,0,LY,1584498314,46,54.81,29.03,21.55,8.03
nyurba,80,RU,1584498314,84,-2.47,63.28,118.33,3.42
agirish,14,RU,1584498314,85,19.9,61.92,63.02,10.71
kavaratti,63,IN,1584498027,69,82.8,10.57,72.64,6.06
riyadh,47,SA,1584498264,37,69.8,24.69,46.72,6.93
coihaique,3,CL,1584498315,76,50.0,-45.58,-72.07,5.82
aquiraz,0,BR,1584498315,83,82.99,-3.9,-38.39,2.24
aswan,0,EG,1584498035,48,60.8,24.09,32.91,23.04
masvingo,96,ZW,1584498316,92,59.97,-20.06,30.83,6.06
linhares,97,BR,1584498316,95,72.82,-19.39,-40.07,2.37
parana,100,AR,1584498151,99,68.0,-31.73,-60.52,1.99
dalhousie,0,IN,1584498316,48,56.25,32.53,75.98,5.68
ouro fino,0,BR,1584498317,91,64.42,-22.28,-46.37,3.13
kargasok,98,RU,1584498317,87,26.78,59.06,80.86,22.46
puerto narino,40,CO,1584498317,94,80.6,-3.77,-70.38,3.36
zamora,100,EC,1584498218,95,57.13,-4.07,-78.96,5.19
klaksvik,100,FO,1584498338,61,37.4,62.23,-6.59,25.28
krasnoselkup,100,RU,1584498339,94,18.27,65.7,82.47,13.67
leningradskiy,100,RU,1584498339,83,30.43,69.38,178.42,3.71
port hawkesbury,90,CA,1584498339,96,34.0,45.62,-61.35,14.99
arica,75,CL,1584498095,64,75.2,-18.48,-70.3,3.36
igarka,100,RU,1584498340,94,15.46,67.47,86.58,19.17
russell,1,US,1584498340,88,68.0,32.35,-85.2,4.7
turka,84,UA,1584498340,93,37.0,49.15,23.03,0.67
tazmalt,75,DZ,1584498340,93,55.4,36.39,4.4,3.36
bima,3,ID,1584498341,66,84.88,-8.47,118.72,5.14
sidi ali,0,DZ,1584498341,84,54.54,36.1,0.42,6.06
tambun,40,ID,1584498341,78,84.0,-6.26,107.07,3.36
bosaso,100,SO,1584498341,86,77.88,11.28,49.18,15.5
cayenne,22,GF,1584498341,88,75.2,4.93,-52.33,5.91
morros,0,BR,1584498363,77,73.9,-9.45,-46.3,2.62
nakonde,100,ZM,1584498363,95,63.95,-9.34,32.74,1.54
high level,40,CA,1584498363,57,19.4,58.52,-117.14,4.7
flinders,0,AU,1584498364,41,78.8,-34.58,150.86,8.05
lebu,0,CL,1584498364,92,54.66,-37.62,-73.65,5.97
glenwood springs,1,US,1584498364,46,55.4,39.55,-107.32,9.17
najran,100,SA,1584498364,38,73.4,17.49,44.13,3.36
qaqortoq,26,GL,1584498364,39,10.4,60.72,-46.03,9.17
kemijarvi,100,FI,1584498365,91,28.04,66.71,27.43,11.81
yanji,100,CN,1584498365,58,41.0,42.91,129.51,3.53
schruns,0,AT,1584498365,93,46.0,47.07,9.95,1.12
luba,20,GQ,1584498365,94,80.6,3.46,8.55,3.36
pokrovsk,0,UA,1584498366,67,33.37,48.28,37.18,2.01
drumnadrochit,8,GB,1584498366,86,37.4,57.33,-4.48,9.17
santiago del estero,1,AR,1584498366,84,72.86,-27.8,-64.26,7.16
richmond,90,US,1584498302,82,60.8,37.55,-77.46,6.62
dohar,20,BD,1584498388,61,77.0,23.59,90.15,1.14
vega de alatorre,0,MX,1584498388,80,75.7,20.03,-96.63,11.16
undory,74,RU,1584498389,69,33.8,54.61,48.39,11.18
omboue,99,GA,1584498389,97,75.22,-1.57,9.26,2.95
isla vista,40,US,1584498389,62,54.0,34.41,-119.86,0.6
maturin,73,VE,1584498389,86,73.47,9.75,-63.18,6.4
gidole,91,ET,1584498390,78,67.06,5.65,37.37,8.52
homer,90,US,1584498390,80,35.6,59.64,-151.55,2.26
helong,100,CN,1584498390,66,40.89,42.54,129.0,7.87
tasiilaq,73,GL,1584498368,78,14.0,65.61,-37.64,8.05
proletariy,100,RU,1584498390,85,37.11,58.43,31.7,13.42
vila,0,PT,1584498391,71,57.99,42.03,-8.16,1.12
quimper,0,FR,1584498391,93,44.6,48.0,-4.1,1.12
burglengenfeld,90,DE,1584498391,93,44.01,49.21,12.04,2.24
inta,100,RU,1584498391,92,20.25,66.03,60.17,21.27
lodwar,100,KE,1584498392,59,81.86,3.12,35.6,0.54
asau,0,RO,1584498392,70,43.0,46.43,26.4,5.82
flin flon,45,CA,1584498392,94,-6.7,54.77,-101.86,4.12
tecoanapa,2,MX,1584498392,88,75.34,16.52,-98.75,1.19
jaque,0,PA,1584498393,87,71.62,7.52,-78.17,5.19
nhulunbuy,75,AU,1584498393,70,86.0,-12.23,136.77,10.29
itaituba,100,BR,1584498393,93,74.3,-4.28,-55.98,1.97
liwale,97,TZ,1584498394,97,68.49,-9.77,37.93,2.95
alice springs,0,AU,1584498314,21,91.4,-23.7,133.88,12.75
samarai,23,PG,1584498394,83,80.85,-10.62,150.67,5.44
santa fe,100,AR,1584498394,97,68.0,-31.63,-60.7,1.99
honiara,20,SB,1584498122,74,87.8,-9.43,159.95,6.93
bojnurd,75,IR,1584498395,87,46.4,37.47,57.33,2.24
ciudad bolivar,2,VE,1584498395,65,79.25,8.12,-63.55,12.53
